"age","fishery","value","length","sd_length","length_upper","length_lower"
1,1,0.0019,10,2.8826,15.649896,4.350104
2,1,0.0033,24.7453,3.5668,31.736228,17.754372
3,1,0.0547,36.8601,4.2488,45.187748,28.532452
4,1,0.7203,46.8137,4.9057,56.428872,37.198528
5,1,1,54.9915,5.5208,65.812268,44.170732
6,1,0.5207,61.7104,6.0834,73.633864,49.786936
7,1,0.3102,67.2307,6.5883,80.143768,54.317632
8,1,0.282,71.7662,7.0343,85.553428,57.978972
9,1,0.3198,75.4925,7.4233,90.042168,60.942832
10,1,0.3801,78.5541,7.7589,93.761544,63.346656
11,1,0.4417,81.0695,8.0459,96.839464,65.299536
12,1,0.4921,83.1361,8.2897,99.383912,66.888288
13,1,0.526,84.8341,8.4955,101.48528,68.18292
14,1,0.5437,86.2291,8.6685,103.21936,69.23884
15,1,0.5487,87.3753,8.8132,104.649172,70.101428
16,1,0.5487,88.317,8.9338,105.827248,70.806752
1,2,0.0019,10,2.8826,15.649896,4.350104
2,2,0.0033,24.7453,3.5668,31.736228,17.754372
3,2,0.0547,36.8601,4.2488,45.187748,28.532452
4,2,0.7203,46.8137,4.9057,56.428872,37.198528
5,2,1,54.9915,5.5208,65.812268,44.170732
6,2,0.5207,61.7104,6.0834,73.633864,49.786936
7,2,0.3102,67.2307,6.5883,80.143768,54.317632
8,2,0.282,71.7662,7.0343,85.553428,57.978972
9,2,0.3198,75.4925,7.4233,90.042168,60.942832
10,2,0.3801,78.5541,7.7589,93.761544,63.346656
11,2,0.4417,81.0695,8.0459,96.839464,65.299536
12,2,0.4921,83.1361,8.2897,99.383912,66.888288
13,2,0.526,84.8341,8.4955,101.48528,68.18292
14,2,0.5437,86.2291,8.6685,103.21936,69.23884
15,2,0.5487,87.3753,8.8132,104.649172,70.101428
16,2,0.5487,88.317,8.9338,105.827248,70.806752
1,3,0.0011,10,2.8826,15.649896,4.350104
2,3,0.002,24.7453,3.5668,31.736228,17.754372
3,3,0.0322,36.8601,4.2488,45.187748,28.532452
4,3,0.4643,46.8137,4.9057,56.428872,37.198528
5,3,1,54.9915,5.5208,65.812268,44.170732
6,3,0.7201,61.7104,6.0834,73.633864,49.786936
7,3,0.4023,67.2307,6.5883,80.143768,54.317632
8,3,0.2416,71.7662,7.0343,85.553428,57.978972
9,3,0.1651,75.4925,7.4233,90.042168,60.942832
10,3,0.1267,78.5541,7.7589,93.761544,63.346656
11,3,0.1065,81.0695,8.0459,96.839464,65.299536
12,3,0.0958,83.1361,8.2897,99.383912,66.888288
13,3,0.0903,84.8341,8.4955,101.48528,68.18292
14,3,0.0878,86.2291,8.6685,103.21936,69.23884
15,3,0.0872,87.3753,8.8132,104.649172,70.101428
16,3,0.0872,88.317,8.9338,105.827248,70.806752
1,4,2e-04,10,2.8826,15.649896,4.350104
2,4,4e-04,24.7453,3.5668,31.736228,17.754372
3,4,0.0021,36.8601,4.2488,45.187748,28.532452
4,4,0.0108,46.8137,4.9057,56.428872,37.198528
5,4,0.0238,54.9915,5.5208,65.812268,44.170732
6,4,0.0374,61.7104,6.0834,73.633864,49.786936
7,4,0.064,67.2307,6.5883,80.143768,54.317632
8,4,0.1285,71.7662,7.0343,85.553428,57.978972
9,4,0.2515,75.4925,7.4233,90.042168,60.942832
10,4,0.4286,78.5541,7.7589,93.761544,63.346656
11,4,0.6254,81.0695,8.0459,96.839464,65.299536
12,4,0.798,83.1361,8.2897,99.383912,66.888288
13,4,0.9185,84.8341,8.4955,101.48528,68.18292
14,4,0.9822,86.2291,8.6685,103.21936,69.23884
15,4,1,87.3753,8.8132,104.649172,70.101428
16,4,1,88.317,8.9338,105.827248,70.806752
1,5,0.0086,10,2.8826,15.649896,4.350104
2,5,0.0079,24.7453,3.5668,31.736228,17.754372
3,5,0.0541,36.8601,4.2488,45.187748,28.532452
4,5,0.5127,46.8137,4.9057,56.428872,37.198528
5,5,1,54.9915,5.5208,65.812268,44.170732
6,5,0.7833,61.7104,6.0834,73.633864,49.786936
7,5,0.5174,67.2307,6.5883,80.143768,54.317632
8,5,0.3767,71.7662,7.0343,85.553428,57.978972
9,5,0.3058,75.4925,7.4233,90.042168,60.942832
10,5,0.2676,78.5541,7.7589,93.761544,63.346656
11,5,0.2466,81.0695,8.0459,96.839464,65.299536
12,5,0.235,83.1361,8.2897,99.383912,66.888288
13,5,0.229,84.8341,8.4955,101.48528,68.18292
14,5,0.2264,86.2291,8.6685,103.21936,69.23884
15,5,0.2257,87.3753,8.8132,104.649172,70.101428
16,5,0.2257,88.317,8.9338,105.827248,70.806752
1,6,0.0055,10,2.8826,15.649896,4.350104
2,6,0.0055,24.7453,3.5668,31.736228,17.754372
