age,length_low,length_diag,length_diag_lower,length_diag_upper,length_high
1,25.7051,22.7832,15.501996,30.064404,22.6672
2,36.1349,35.0797,27.798496,42.360904,34.9986
3,44.5722,45.0003,37.719096,52.281504,44.9972
4,51.3977,53.0041,45.722896,60.285304,53.1044
5,56.9193,59.4614,52.180196,66.742604,59.6779
6,61.3861,64.6711,57.389896,71.952304,65.0079
7,64.9995,68.8741,61.592896,76.155304,69.3296
8,67.9227,72.2651,64.983896,79.546304,72.8337
9,70.2874,75.0009,67.719696,82.282104,75.675
10,72.2004,77.2081,69.926896,84.489304,77.9788
11,73.748,78.9888,71.707596,86.270004,79.8467
12,74.9999,80.4254,73.144196,87.706604,81.3613
13,76.0126,81.5845,74.303296,88.865704,82.5894
14,76.8319,82.5196,75.238396,89.800804,83.5852
15,77.4946,83.274,75.992796,90.555204,84.3925
16,78.0308,83.8827,76.601496,91.163904,85.0472
