Proj_id,sch_date,Rellat,Rellon,sp_id,catchdate,RecDate_reliability,reclat,reclon,recArea_reliability,EEZ,Validated,Verified,gr_id,flag_id,assoc_id,lenRel,tag_quality,Rel_len_reliability,Rec_len_reliability,lenRec,tag_no,tagger,RelDate,RecDate,libertyDays,libertyYears,lenDiff,lenAvg,growth1,growth30,growth365
PT,2009-08-08,0314.674S,15053.244E,S,2009-12-14,1,1141.640S,15503.480E,2,PG,1,0,S,JP,Z,52,1,1,1,56,P147990,EDT,2009-08-08,2009-12-14,128,0.350684931506849,4,54,0.03125,0.9375,11.40625
PT,2009-09-16,0057.173S,13859.656E,S,2010-03-19,3,0337.000S,16021.000E,4,PG,1,0,S,JP,Z,33,1,1,1,51,Z86508,ADL,2009-09-16,2010-03-19,184,0.504109589041096,18,42,0.0978260869565217,2.93478260869565,35.7065217391304
PT,2009-09-22,0448.047S,14722.036E,S,2010-03-19,3,0337.000S,16021.000E,4,PG,1,0,S,JP,Z,41,1,1,1,56,P161023,ADL,2009-09-22,2010-03-19,178,0.487671232876712,15,48.5,0.0842696629213483,2.52808988764045,30.7584269662921
PT,2009-09-24,0438.458S,15000.084E,S,2010-03-19,3,0337.000S,16021.000E,4,PG,1,0,S,JP,Z,44,1,1,1,55,P169661,ADL,2009-09-24,2010-03-19,176,0.482191780821918,11,49.5,0.0625,1.875,22.8125
PT,2009-10-11,0249.856S,15040.699E,S,2010-02-22,1,0245.000N,15345.000E,1,FM,1,0,S,JP,Z,53,1,1,1,59,P175150,DVP,2009-10-11,2010-02-22,134,0.367123287671233,6,56,0.0447761194029851,1.34328358208955,16.3432835820896
PT,2009-10-13,0510.582S,15339.934E,S,2010-03-19,3,0337.000S,16021.000E,4,PG,1,0,S,JP,Z,44,1,1,1,63,P175388,EDT,2009-10-13,2010-03-19,157,0.43013698630137,19,53.5,0.121019108280255,3.63057324840764,44.171974522293
PT,2009-10-14,0536.220S,15545.980E,S,2010-03-27,2,0033.000N,15119.000E,5,PG,0,1,S,JP,Z,45,1,1,1,55,P178114,HEM,2009-10-14,2010-03-27,164,0.449315068493151,10,50,0.0609756097560976,1.82926829268293,22.2560975609756
PT,2011-04-14,1006.108S,15509.990E,S,2011-08-16,3,0059.226N,15415.733E,6,FM,1,0,S,JP,Z,43,1,1,1,56,P188944,BML,2011-04-14,2011-08-16,124,0.33972602739726,13,49.5,0.104838709677419,3.14516129032258,38.2661290322581
PT,2011-05-01,0441.657S,15644.956E,S,2011-07-20,3,0050.567S,14956.299E,7,PG,1,1,S,JP,Z,51,1,1,1,54.8,P197804,DVP,2011-05-01,2011-07-20,80,0.219178082191781,3.8,52.9,0.0475,1.425,17.3375
PT,2011-05-31,0001.310S,14659.900E,S,2011-08-08,2,0405.000N,15222.000E,2,FM,1,0,S,JP,Z,55,1,1,1,56,P203234,SHS,2011-05-31,2011-08-08,69,0.189041095890411,1,55.5,0.0144927536231884,0.434782608695652,5.28985507246377
PT,2011-06-01,0204.450N,14657.150E,S,2011-07-17,3,0342.019N,14851.060E,7,FM,1,1,S,NA,Z,53,1,1,1,54.7,P204733,BRK,2011-06-01,2011-07-17,46,0.126027397260274,1.7,53.85,0.0369565217391305,1.10869565217391,13.4891304347826
